13 5 1
14 5 1
41 36 1
25 36 1
1 11 1
37 11 1
38 11 1
1 8 1
43 4 1
25 31 1
40 44 1
29 33 1
12 32 1
37 32 1
38 32 1
37 47 1
38 47 1
1 7 1
1 10 1
1 17 1
1 9 1
17 29 1
17 34 1
16 26 1
1 12 1
47 1 1
47 42 1
31 22 1
18 14 1
7 28 1
36 43 1
19 43 1
20 43 1
8 27 1
23 24 1
21 24 1
22 24 1
26 19 1
30 20 1
10 21 1
39 48 1
44 48 1
2 39 1
23 13 1
21 13 1
22 13 1
48 50 1
45 35 1
46 35 1
23 30 1
21 30 1
22 30 1
28 6 1
23 15 1
21 15 1
22 15 1
11 49 1
48 49 1
23 37 1
21 37 1
22 37 1
19 46 1
20 46 1
3 38 1
44 38 1
27 41 1
32 18 1
15 18 1
4 18 1
42 2 1
11 23 1
24 23 1
5 23 1
19 23 1
20 23 1
6 45 1
19 45 1
20 45 1
26 45 1
39 51 1
23 25 1
21 25 1
22 25 1
33 40 1
34 40 1
35 40 1
9 16 1
26 3 1
49 3 1
